Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
OS_PC_MetaG.mb.10	k__Archaea (UID2)	207	149	107	42.92	0.93	100.00	413556	0	114	114	3805	3805	3627	3627	12960	12960	34.2505005368	1.87	0.89136900444	11	579	78	70	1	0	0	0	27	0	UID1	k__Archaea (root)	k__Archaea	34.2505005368	0.413556	579	0.89136900444	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
OS_PC_MetaG.mb.11	k__Archaea (UID2)	207	149	107	83.80	1.87	0.00	1528804	0	57	57	42602	42602	26821	26821	116366	116366	34.2445467176	1.11	0.894229737756	11	1741	20	127	2	0	0	0	41	0	UID1	k__Archaea (root)	k__Archaea	34.2445467176	1.528804	1741	0.894229737756	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
OS_PC_MetaG.mb.12	c__Gammaproteobacteria (UID4202)	67	481	276	98.19	0.79	0.00	3136936	0	68	68	68337	68337	46131	46131	217700	217700	59.865390942	1.60	0.89264938781	11	2724	8	469	4	0	0	0	43	0	UID4209	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	f__Xanthomonadaceae	59.865390942	3.136936	2724	0.89264938781	11	60	64.1574943777	5.85228176842	4.0603202	0.945581442528	3698.51666667	783.060778647
OS_PC_MetaG.mb.13	k__Bacteria (UID2569)	434	278	186	98.39	2.96	0.00	4186752	0	342	342	22883	22883	12241	12241	161307	161307	43.6841733162	6.70	0.918058437662	11	3607	3	269	6	0	0	0	43	0	UID2616	k__Bacteria;p__Bacteroidetes	c__Bacteroidia;o__Bacteroidales	43.6841733162	4.186752	3607	0.918058437662	11	339	41.2085843471	6.09138086841	3.91522416224	1.35300552133	3422.87610619	1091.16090759
OS_PC_MetaG.mb.14	k__Bacteria (UID203)	5449	104	58	25.86	0.00	0.00	603232	0	139	139	4546	4546	4339	4339	12184	12184	63.6324001379	2.39	0.882366983184	11	681	87	17	0	0	0	0	2	0	UID3232	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	o__Desulfarculales;f__Desulfarculaceae;g__Desulfarculus;s__Desulfarculus_baarsii	63.6324001379	0.603232	681	0.882366983184	11	2	62.2259907053	3.47750334285	4.1615375	0.5058065	3730.0	375.0
OS_PC_MetaG.mb.15	p__Euryarchaeota (UID49)	95	228	153	63.78	2.18	100.00	702753	0	172	172	4232	4232	4085	4085	17817	17817	45.4324634687	2.18	0.908462859639	11	1067	86	138	4	0	0	0	21	0	UID70	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae	g__Methanocella	45.4324634687	0.702753	1067	0.908462859639	11	4	53.4605933751	1.36680138689	2.645062	0.445025607081	2810.0	341.82817321
OS_PC_MetaG.mb.16	k__Archaea (UID2)	207	149	107	65.27	1.87	0.00	693982	0	119	119	6890	6890	5831	5831	17211	17211	35.1968783052	2.15	0.87113642717	11	949	43	104	2	0	0	0	38	0	UID1	k__Archaea (root)	k__Archaea	35.1968783052	0.693982	949	0.87113642717	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
OS_PC_MetaG.mb.17	c__Deltaproteobacteria (UID3216)	83	247	155	96.45	5.27	27.27	3810964	0	298	298	20940	20940	12788	12788	62686	62686	47.7953872039	2.98	0.84818801752	11	3764	9	229	8	1	0	0	43	0	UID3230	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	g__Desulfosarcina;s__	47.7953872039	3.810964	3764	0.84818801752	11	2	48.0397321851	6.80738320489	4.041273	0.440702	3806.0	170.0
Undefined_mixed_planktonic.mb.61	k__Bacteria (UID203)	5449	104	58	28.92	2.59	100.00	1608069	0	398	398	4479	4479	4040	4040	23626	23626	67.4043215807	1.87	0.91820873358	11	1941	82	20	2	0	0	0	3	0	UID3442	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	unresolved	67.4043215807	1.608069	1941	0.91820873358	11	3	66.9123214764	0.237989743615	3.382171	0.199294673709	3393.33333333	210.556933446
Undefined_mixed_planktonic.mb.60	k__Bacteria (UID203)	5449	104	58	17.24	0.00	0.00	887793	0	302	302	2844	2844	2939	2939	15115	15115	59.8694740779	2.42	0.897276730049	11	1087	93	11	0	0	0	0	1	0	UID4507	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_2;s__Pseudomonas_stutzeri	g__Pseudomonas	59.8694740779	0.887793	1087	0.897276730049	11	2	61.4245691469	0.864398893202	4.5883885	0.3551755	4340.0	290.0
Old_saline_planktonic.mb.86	o__Rhizobiales (UID3449)	345	431	258	96.06	9.08	32.26	5122792	0	280	280	31786	31786	18295	18295	101832	101832	61.0026719804	3.22	0.889165517554	11	5044	29	375	25	2	0	0	28	1	UID3639	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	g__Agrobacterium;s__Agrobacterium_albertimagni	61.0026719804	5.122792	5044	0.889165517554	11	2	61.8227638358	0.594011269555	5.364532	0.279212	5088.5	177.5
Undefined_mixed_planktonic.mb.63	o__Sphingomonadales (UID3310)	26	569	293	48.41	2.78	63.16	2357516	0	638	638	3743	3743	3695	3695	22210	22210	63.6787194657	2.31	0.908543568739	11	2674	301	251	16	1	0	0	15	0	UID3317	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis_alaskensis	63.6787194657	2.357516	2674	0.908543568739	11	13	64.0783229486	1.61581209669	3.58684023077	0.67070855668	3434.0	514.042949418
Old_saline_planktonic.mb.71	k__Bacteria (UID203)	5449	104	58	4.31	0.00	0.00	276832	0	108	108	2436	2436	2563	2563	4356	4356	53.5295775055	2.40	0.9066798636	11	341	99	5	0	0	0	0	4	0	UID4477	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae	g__Oceanobacter;s__Oceanobacter_kriegii	53.5295775055	0.276832	341	0.9066798636	11	2	49.5965870705	5.63659065423	4.017488	0.490404	3703.5	331.5
Old_saline_planktonic.mb.70	o__Pseudomonadales (UID4488)	185	813	308	95.97	4.73	57.14	4500338	0	221	221	33077	33077	20363	20363	139713	139713	59.6420535524	2.04	0.902766858845	11	4382	60	704	49	0	0	0	22	2	UID4513	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	s__	59.6420535524	4.500338	4382	0.902766858845	11	6	62.2815364412	2.58021854953	4.96972916667	0.150097692723	4600.83333333	135.858279918
Old_saline_planktonic.mb.73	c__Deltaproteobacteria (UID3216)	83	247	155	96.13	1.79	50.00	4030222	0	145	145	40653	40653	27794	27794	186519	186519	63.4875696674	2.62	0.89323491361	11	3808	6	235	6	0	0	0	40	3	UID3232	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	o__Desulfarculales;f__Desulfarculaceae;g__Desulfarculus;s__Desulfarculus_baarsii	63.4875696674	4.030222	3808	0.89323491361	11	2	62.2259907053	3.47750334285	4.1615375	0.5058065	3730.0	375.0
Old_saline_planktonic.mb.72	c__Alphaproteobacteria (UID3422)	26	529	308	94.40	4.90	73.08	3161592	0	325	325	13534	13534	9727	9727	50640	50640	67.6246650422	1.76	0.907314416281	11	3262	23	480	26	0	0	0	40	3	UID3442	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	s__	67.6246650422	3.161592	3262	0.907314416281	11	3	66.9123214764	0.237989743615	3.382171	0.199294673709	3393.33333333	210.556933446
Old_saline_planktonic.mb.75	k__Bacteria (UID2495)	2993	143	89	74.46	4.00	40.00	1512374	0	383	383	4252	4252	3948	3948	13776	13776	40.686629101	1.92	0.878994217039	11	1811	34	104	5	0	0	0	33	0	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	40.686629101	1.512374	1811	0.878994217039	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
Old_saline_planktonic.mb.74	root (UID1)	5656	56	24	0.00	0.00	0.00	277471	0	109	109	2444	2444	2545	2545	4696	4696	63.5086189187	2.03	0.90813814777	11	369	56	0	0	0	0	0	0	0	NA	NA	unresolved	63.5086189187	0.277471	369	0.90813814777	11	NA	NA	NA	NA	NA	NA	NA
Old_saline_planktonic.mb.77	root (UID1)	5656	56	24	0.00	0.00	0.00	253650	0	106	106	2364	2364	2392	2392	4286	4286	64.2574413562	2.51	0.916353242657	11	341	56	0	0	0	0	0	0	0	NA	NA	unresolved	64.2574413562	0.25365	341	0.916353242657	11	NA	NA	NA	NA	NA	NA	NA
Old_saline_planktonic.mb.76	c__Betaproteobacteria (UID3959)	235	414	209	97.58	1.70	20.00	3079442	0	102	102	51645	51645	30190	30190	152279	152279	64.0456290458	1.78	0.914422807768	11	3133	25	384	5	0	0	0	29	0	UID3964	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Hydrogenophilales;f__Hydrogenophilaceae;g__Thiobacillus;s__Thiobacillus_denitrificans	s__Thiobacillus_thioparus	64.0456290458	3.079442	3133	0.914422807768	11	2	62.4987026659	0.19981819922	3.405733	0.204215	3424.0	227.0
Old_saline_planktonic.mb.79	root (UID1)	5656	56	24	0.00	0.00	0.00	1388927	0	410	410	3283	3283	3387	3387	43175	43175	43.5587327484	2.94	0.920168590574	11	2287	56	0	0	0	0	0	0	0	NA	NA	unresolved	43.5587327484	1.388927	2287	0.920168590574	11	NA	NA	NA	NA	NA	NA	NA
Old_saline_planktonic.mb.78	k__Bacteria (UID2565)	2921	143	88	97.62	2.27	0.00	1918267	0	69	69	51257	51257	27800	27800	123215	123215	44.8539228376	2.43	0.879191478559	11	1860	3	138	2	0	0	0	40	0	UID2983	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae	unresolved	44.8539228376	1.918267	1860	0.879191478559	11	11	53.2536077313	6.59699903983	6.27668727273	1.36762595276	5441.09090909	1274.33379775
KR11_S3.mb.31	k__Bacteria (UID203)	5449	104	58	87.62	74.97	51.19	2506374	0	647	647	4195	4195	3873	3873	14659	14659	39.8997116951	2.42	0.913601481662	11	2979	10	23	66	4	1	0	10	28	UID2566	k__Bacteria	unresolved	39.8997116951	2.506374	2979	0.913601481662	11	525	42.588785261	7.01104947332	3.85675681905	1.76836328516	3363.96571429	1451.8143246
KR11_S3.mb.30	k__Bacteria (UID1452)	924	163	110	88.50	6.36	0.00	3551706	0	600	600	7157	7157	5919	5919	35580	35580	45.7274053652	3.97	0.892882744236	11	3723	21	135	7	0	0	0	33	0	UID2310	k__Bacteria;p__Chloroflexi	c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;s__Anaerolinea_thermophila	45.7274053652	3.551706	3723	0.892882744236	11	2	56.2911854198	2.4415124799	4.335458	0.80308	3708.0	484.0
KR11_S3.mb.33	k__Bacteria (UID2495)	2993	143	89	87.20	1.12	100.00	1851707	0	179	179	14433	14433	10344	10344	51022	51022	48.2803164864	3.70	0.947104482513	11	1833	14	128	1	0	0	0	38	0	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	48.2803164864	1.851707	1833	0.947104482513	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
KR11_S3.mb.32	k__Bacteria (UID2495)	2993	143	89	14.34	0.00	0.00	327536	0	81	81	4528	4528	4043	4043	13870	13870	38.6626202921	2.23	0.927754506375	11	379	115	28	0	0	0	0	14	0	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	38.6626202921	0.327536	379	0.927754506375	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
KR11_S3.mb.35	p__Euryarchaeota (UID49)	95	228	153	73.78	4.71	12.50	1604766	0	396	396	4367	4367	4052	4052	17529	17529	44.2217120752	2.29	0.880707841517	11	2067	52	168	8	0	0	0	35	1	UID60	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	f__;g__;s__	44.2217120752	1.604766	2067	0.880707841517	11	11	41.0744786565	2.19916782413	3.27194190909	1.12292978568	3063.18181818	781.250957024
KR11_S3.mb.34	f__Rhizobiaceae (UID3564)	78	837	352	23.03	0.97	0.00	1500811	0	432	432	3241	3241	3474	3474	82426	82426	62.2324863024	9.27	0.885219391382	11	1811	620	206	11	0	0	0	16	3	UID3601	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	g__Rhizobium;s__Rhizobium_selenitireducens	62.2324863024	1.500811	1811	0.885219391382	11	3	60.0940872003	2.51898663294	5.143831	0.900662397128	4666.66666667	694.578209339
