taxa	name	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
KR11_0.1_MetaG.013.2k	KR11_0.1_MetaG.013.2k	c__Betaproteobacteria (UID3959)	235	418	210	39.05	0.98	100.0	859161	0	55	55	19362	19362	15621	15621	44875	44875		1.47			913	259	156	3	0	0	0	22	0	UID3961	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	p__Sideroxydans;c__Sideroxydans;o__Sideroxydans;f__Sideroxydans;g__Sideroxydans;s__Sideroxydans_lithotrophicus		0.8591610000000001	913			2.0	55.148283071899996	2.39345939129	3.0830634999999997	0.0794075	3027.5	21.5
KR11_0.1_MetaG.014.2k	KR11_0.1_MetaG.014.2k	c__Deltaproteobacteria (UID3216)	83	247	155	94.35	8.48	12.5	2800934	0	596	596	5414	5414	4699	4699	35693	35693		5.87			3060	11	216	18	2	0	0	38	5	UID3217	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	o__Syntrophobacterales;f__Syntrophaceae;g__Desulfomonile;s__Desulfomonile_tiedjei		2.800934	3060			62.0	56.1284551379	8.30705690322	4.24122095161	0.9491114780869999	3829.01612903	789.75088951
KR11_0.1_MetaG.015.2k	KR11_0.1_MetaG.015.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	182730	0	51	51	3341	3341	3582	3582	14713	14713		1.38			293	56	0	0	0	0	0	0	0			unresolved		0.18273	293									
KR11_0.1_MetaG.016.2k	KR11_0.1_MetaG.016.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	298561	0	77	77	3467	3467	3877	3877	47332	47332		1.63			501	56	0	0	0	0	0	0	0			unresolved		0.298561	501									
KR11_0.1_MetaG.017.2k	KR11_0.1_MetaG.017.2k	f__Rhodocyclaceae (UID3972)	30	540	241	96.47	1.24	0.0	3335576	0	21	21	272373	272373	158836	158836	540046	540046		1.61			3177	10	527	3	0	0	0	43	0	UID3985	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae	unresolved		3.335576	3177			17.0	65.8987056511	2.46835292806	4.466137294119999	0.43676325974200003	4156.29411765	431.10593275800005
KR11_0.1_MetaG.018.2k	KR11_0.1_MetaG.018.2k	k__Bacteria (UID203)	5449	104	58	58.62	0.0	0.0	1166013	0	69	69	26431	26431	16898	16898	65796	65796		2.38			1173	63	41	0	0	0	0	7	0	UID3961	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	p__Sideroxydans;c__Sideroxydans;o__Sideroxydans;f__Sideroxydans;g__Sideroxydans;s__Sideroxydans_lithotrophicus		1.166013	1173			2.0	55.148283071899996	2.39345939129	3.0830634999999997	0.0794075	3027.5	21.5
KR11_0.1_MetaG.019.2k	KR11_0.1_MetaG.019.2k	k__Bacteria (UID1453)	901	171	117	30.22	4.99	25.0	258678	0	85	85	2738	2738	3043	3043	24128	24128		5.7			346	104	59	8	0	0	0	24	1	UID2142	k__Bacteria	p__Deinococcus-Thermus;c__Deinococci		0.258678	346			169.0	50.1629813722	12.0228236511	4.391494917159999	1.9983819945400003	4148.5443787	1625.20651017
KR11_0.1_MetaG.020.2k	KR11_0.1_MetaG.020.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	1214310	0	240	240	5863	5863	5059	5059	46421	46421		4.85			2144	56	0	0	0	0	0	0	0			unresolved		1.21431	2144									
KR11_0.1_MetaG.021.2k	KR11_0.1_MetaG.021.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	686908	0	224	224	2881	2881	3066	3066	16683	16683		1.7			1223	56	0	0	0	0	0	0	0			unresolved		0.686908	1223									
KR11_0.1_MetaG.022.2k	KR11_0.1_MetaG.022.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	113579	0	11	11	64918	64918	10325	10325	64918	64918		1.26			223	56	0	0	0	0	0	0	0			unresolved		0.113579	223									
KR11_0.1_MetaG.023.2k	KR11_0.1_MetaG.023.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	9056062	0	2398	2398	3700	3700	3776	3776	49313	49313		2.09			15877	56	0	0	0	0	0	0	0			unresolved		9.056061999999999	15877									
KR11_0.1_MetaG.024.2k	KR11_0.1_MetaG.024.2k	k__Bacteria (UID203)	5449	103	57	7.02	0.0	0.0	202910	0	53	53	4455	4455	3828	3828	7765	7765		3.76			193	98	5	0	0	0	0	1	0	UID3235	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfotalea;s__Desulfotalea_psychrophila		0.20290999999999998	193			5.0	54.111367786	6.61115303754	4.4153047999999995	0.796783927483	3887.4	661.542621454
KR11_0.1_MetaG.025.2k	KR11_0.1_MetaG.025.2k	k__Bacteria (UID203)	5449	102	56	14.12	1.87	0.0	498109	0	100	100	5656	5656	4981	4981	50424	50424		6.09			482	82	13	7	0	0	0	6	7	UID3219	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	unresolved		0.498109	482			15.0	51.015574710600006	6.532417187209999	4.96796686667	0.93795073881	4432.0	724.7463004389999
KR11_0.1_MetaG.026.2k	KR11_0.1_MetaG.026.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	282608	0	52	52	8850	8850	5434	5434	81099	81099		1.88			542	56	0	0	0	0	0	0	0			unresolved		0.28260799999999997	542									
KR11_0.1_MetaG.027.2k	KR11_0.1_MetaG.027.2k	k__Bacteria (UID1453)	901	171	117	11.13	6.84	0.0	8142496	0	2020	2020	3999	3999	4030	4030	157276	157276		3.84			13253	142	27	0	1	0	1	14	0	UID2142	k__Bacteria	p__Deinococcus-Thermus;c__Deinococci		8.142496000000001	13253			169.0	50.1629813722	12.0228236511	4.391494917159999	1.9983819945400003	4148.5443787	1625.20651017
KR11_0.1_MetaG.028.2k	KR11_0.1_MetaG.028.2k	k__Bacteria (UID203)	5449	104	58	81.66	5.09	12.5	1302241	0	132	132	14466	14466	9865	9865	42910	42910		2.38			1385	21	75	8	0	0	0	22	5	UID1	k__Bacteria (root)	k__Bacteria		1.302241	1385			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR11_0.1_MetaG.029.2k	KR11_0.1_MetaG.029.2k	k__Archaea (UID2)	207	149	107	80.37	49.63	5.6	19503292	0	4763	4763	3995	3995	4094	4094	119930	119930		3.6			33270	22	72	40	11	1	3	17	25	UID1	k__Archaea (root)	k__Archaea		19.503292000000002	33270			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR11_0.1_MetaG.030.2k	KR11_0.1_MetaG.030.2k	k__Bacteria (UID203)	5449	104	58	32.71	15.6	0.0	10453383	0	2908	2908	3408	3408	3594	3594	73159	73159		2.72			17180	68	15	17	3	1	0	2	13	UID2981	k__Bacteria	p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter_succinogenes		10.453383	17180			2.0	42.962686276099994	5.0891583566000005	3.0447275	0.7979075	2528.5	659.5
KR11_0.1_MetaG.031.2k	KR11_0.1_MetaG.031.2k	k__Bacteria (UID203)	5449	104	58	78.08	18.17	5.0	4997277	0	1188	1188	4498	4498	4206	4206	35204	35204		4.36			5729	17	63	19	3	2	0	28	14	UID3217	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	o__Syntrophobacterales;f__Syntrophaceae;g__Desulfomonile;s__Desulfomonile_tiedjei		4.9972769999999995	5729			62.0	56.1284551379	8.30705690322	4.24122095161	0.9491114780869999	3829.01612903	789.75088951
KR11_0.1_MetaG.032.2k	KR11_0.1_MetaG.032.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	337273	0	87	87	4004	4004	3876	3876	12892	12892		1.6			535	56	0	0	0	0	0	0	0			unresolved		0.337273	535									
KR11_0.1_MetaG.033.2k	KR11_0.1_MetaG.033.2k	o__Actinomycetales (UID1697)	387	330	193	95.42	0.52	0.0	3028229	0	13	13	414188	414188	232940	232940	730161	730161		1.16			2775	11	318	1	0	0	0	42	0	UID1704	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	unresolved		3.028229	2775			39.0	62.1752168903	3.9191909334599995	2.64822361538	0.335984346504	2545.46153846	299.166692764
KR11_0.1_MetaG.034.2k	KR11_0.1_MetaG.034.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	505929	0	24	24	30276	30276	21080	21080	182089	182089		3.73			506	56	0	0	0	0	0	0	0			unresolved		0.505929	506									
KR11_0.1_MetaG.035.2k	KR11_0.1_MetaG.035.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	643345	0	190	190	3307	3307	3386	3386	24705	24705		1.47			1346	56	0	0	0	0	0	0	0			unresolved		0.643345	1346									
KR11_0.1_MetaG.036.2k	KR11_0.1_MetaG.036.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	858404	0	230	230	3751	3751	3732	3732	51297	51297		1.35			1454	56	0	0	0	0	0	0	0			unresolved		0.8584040000000001	1454									
KR11_0.1_MetaG.037.2k	KR11_0.1_MetaG.037.2k	k__Bacteria (UID203)	5449	103	57	45.43	13.24	70.0	460198	0	120	120	4193	4193	3834	3834	9894	9894		1.96			607	39	46	12	6	0	0	21	11	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi		0.46019799999999994	607			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
KR11_0.1_MetaG.038.2k	KR11_0.1_MetaG.038.2k	k__Bacteria (UID203)	5449	104	58	53.37	14.59	57.58	564907	0	173	173	3340	3340	3265	3265	9274	9274		1.8			810	37	40	24	3	0	0	17	15	UID2307	k__Bacteria	p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas;s__Chthonomonas_calidirosea		0.5649069999999999	810			23.0	55.9597818041	5.95590811758	3.9070339565199994	1.7333307660799997	3352.7826087	1254.52443636
KR11_0.1_MetaG.039.2k	KR11_0.1_MetaG.039.2k	k__Bacteria (UID209)	5443	105	59	87.98	7.24	42.86	2165983	0	411	411	6296	6296	5270	5270	36553	36553		3.23			2295	12	86	7	0	0	0	37	3	UID223	k__Bacteria	p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae		2.165983	2295			5429.0	49.3028086303	13.0497836745	3.8116536408199995	1.8262100867500002	3598.01565666	1663.23352454
KR11_0.1_MetaG.040.2k	KR11_0.1_MetaG.040.2k	k__Bacteria (UID2495)	2993	143	89	52.47	28.09	0.0	689193	0	192	192	3429	3429	3589	3589	21768	21768		2.99			884	72	46	21	4	0	0	18	1	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__		0.6891930000000001	884			72.0	38.969742160500005	10.3693638763	2.60865927778	1.0341579159999998	2440.63888889	952.6666419630001
KR11_0.1_MetaG.041.2k	KR11_0.1_MetaG.041.2k	c__Spirochaetia (UID2496)	72	215	125	27.2	3.77	10.0	1118087	0	339	339	3132	3132	3298	3298	15388	15388		8.1			1326	143	54	10	6	2	0	16	9	UID2502	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales	f__Spirochaetaceae		1.118087	1326			66.0	38.831279650999996	10.6533604201	2.5103984393900003	0.9650634856489999	2344.34848485	864.5581721919999
KR11_0.1_MetaG.042.2k	KR11_0.1_MetaG.042.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	8222232	0	2080	2080	3982	3982	3952	3952	59399	59399		4.19			14236	56	0	0	0	0	0	0	0			unresolved		8.222232	14236									
KR11_0.1_MetaG.043.2k	KR11_0.1_MetaG.043.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	704353	0	195	195	3234	3234	3612	3612	47853	47853		1.67			1065	56	0	0	0	0	0	0	0			unresolved		0.704353	1065									
KR11_0.1_MetaG.044.2k	KR11_0.1_MetaG.044.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	196276	0	68	68	2687	2687	2886	2886	8711	8711		0.99			379	56	0	0	0	0	0	0	0			unresolved		0.196276	379									
KR11_0.1_MetaG.045.2k	KR11_0.1_MetaG.045.2k	c__Deltaproteobacteria (UID3216)	83	247	155	90.65	0.65	0.0	2436572	0	375	375	8607	8607	6497	6497	39707	39707		2.9			2456	17	229	1	0	0	0	43	0	UID3230	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	g__Desulfosarcina;s__		2.436572	2456			2.0	48.0397321851	6.80738320489	4.041273	0.44070200000000004	3806.0	170.0
KR11_0.1_MetaG.046.2k	KR11_0.1_MetaG.046.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	382266	0	112	112	3465	3465	3413	3413	11358	11358		1.79			777	56	0	0	0	0	0	0	0			unresolved		0.382266	777									
KR11_0.1_MetaG.047.2k	KR11_0.1_MetaG.047.2k	k__Bacteria (UID203)	5449	103	57	66.45	14.17	8.57	763781	0	184	184	4545	4545	4150	4150	17631	17631		3.08			846	23	55	20	5	0	0	18	18	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi		0.763781	846			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
KR11_0.1_MetaG.048.2k	KR11_0.1_MetaG.048.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	771829	0	216	216	3607	3607	3573	3573	17385	17385		1.21			1531	56	0	0	0	0	0	0	0			unresolved		0.771829	1531									
KR11_0.1_MetaG.049.2k	KR11_0.1_MetaG.049.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	1604085	0	397	397	3881	3881	4040	4040	96059	96059		2.44			2839	56	0	0	0	0	0	0	0			unresolved		1.604085	2839									
KR11_0.1_MetaG.050.2k	KR11_0.1_MetaG.050.2k	k__Bacteria (UID203)	5449	104	58	82.76	35.18	0.8	1367527	0	322	322	4737	4737	4246	4246	27944	27944		3.72			1840	11	41	29	14	9	0	6	37	UID1	k__Bacteria (root)	k__Bacteria		1.367527	1840			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR11_0.1_MetaG.051.2k	KR11_0.1_MetaG.051.2k	k__Bacteria (UID1452)	924	161	108	31.5	2.84	0.0	758370	0	247	247	2901	2901	3070	3070	21568	21568		4.35			957	109	46	6	0	0	0	12	2	UID2307	k__Bacteria	p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas;s__Chthonomonas_calidirosea		0.75837	957			23.0	55.9597818041	5.95590811758	3.9070339565199994	1.7333307660799997	3352.7826087	1254.52443636
KR11_0.1_MetaG.052.2k	KR11_0.1_MetaG.052.2k	k__Bacteria (UID203)	5449	104	58	71.05	26.88	1.75	1757183	0	526	526	3134	3134	3340	3340	62915	62915		4.2			2110	31	48	15	6	4	0	18	15	UID2982	k__Bacteria	p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae		1.7571830000000002	2110			88.0	44.228229498299996	7.813765989760001	2.42188205682	2.1921334645400004	2142.11363636	1851.65080175
KR11_0.1_MetaG.053.2k	KR11_0.1_MetaG.053.2k	k__Archaea (UID2)	207	149	107	78.97	28.5	1.89	1717187	0	392	392	4982	4982	4380	4380	21807	21807		4.43			2187	24	93	25	6	0	1	22	21	UID1	k__Archaea (root)	k__Archaea		1.7171869999999998	2187			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR11_0.1_MetaG.054.2k	KR11_0.1_MetaG.054.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	285147	0	83	83	3167	3167	3435	3435	37912	37912		1.27			530	56	0	0	0	0	0	0	0			unresolved		0.285147	530									
KR11_0.1_MetaG.055.2k	KR11_0.1_MetaG.055.2k	c__Deltaproteobacteria (UID3216)	83	247	155	9.4	0.0	0.0	353696	0	131	131	2663	2663	2699	2699	5792	5792		4.64			378	203	44	0	0	0	0	18	0	UID3291	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	f__Kofleriaceae;g__Haliangium;s__Haliangium_ochraceum		0.353696	378			8.0	71.7531229546	2.85067973745	7.565088125	2.48322934779	6206.125	1736.82472039
KR11_0.1_MetaG.056.2k	KR11_0.1_MetaG.056.2k	k__Bacteria (UID1452)	924	151	101	29.98	4.95	80.0	1893421	0	406	406	5110	5110	4663	4663	70949	70949		7.96			2190	106	40	5	0	0	0	12	0	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi		1.893421	2190			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
KR11_0.1_MetaG.057.2k	KR11_0.1_MetaG.057.2k	k__Bacteria (UID3060)	138	337	245	41.22	0.07	0.0	641844	0	11	11	86180	86180	58349	58349	149239	149239		1.1			682	180	156	1	0	0	0	36	1	UID3161	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Sulfurimonas	s__Sulfurimonas_denitrificans		0.641844	682			2.0	34.0295364398	0.43242032635600003	2.5771215	0.3755605	2549.0	385.0
KR11_0.1_MetaG.058.2k	KR11_0.1_MetaG.058.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	111256	0	30	30	4061	4061	3708	3708	8646	8646		1.01			227	56	0	0	0	0	0	0	0			unresolved		0.111256	227									
KR11_0.1_MetaG.059.2k	KR11_0.1_MetaG.059.2k	k__Bacteria (UID203)	5449	100	55	4.55	0.0	0.0	488256	0	163	163	2842	2842	2995	2995	17816	17816		6.56			545	97	3	0	0	0	0	1	0	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__		0.488256	545			72.0	38.969742160500005	10.3693638763	2.60865927778	1.0341579159999998	2440.63888889	952.6666419630001
KR11_0.1_MetaG.060.2k	KR11_0.1_MetaG.060.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	909691	0	225	225	4211	4211	4043	4043	64900	64900		1.4			1703	56	0	0	0	0	0	0	0			unresolved		0.909691	1703									
KR11_0.1_MetaG.061.2k	KR11_0.1_MetaG.061.2k	k__Bacteria (UID203)	5449	102	56	44.64	44.85	0.91	1363649	0	248	248	6998	6998	5498	5498	55263	55263		3.14			1484	37	29	15	6	4	11	13	21	UID3222	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	unresolved		1.363649	1484			10.0	47.573190738	4.42758846031	4.9265228	0.75252118178	4496.4	598.472422088
KR11_0.1_MetaG.062.2k	KR11_0.1_MetaG.062.2k	k__Bacteria (UID203)	5449	103	57	64.51	29.22	0.0	1336075	0	440	440	2990	2990	3036	3036	13213	13213		2.79			1584	32	42	17	7	3	2	20	11	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi		1.336075	1584			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
KR11_0.1_MetaG.063.2k	KR11_0.1_MetaG.063.2k	k__Archaea (UID2)	207	149	107	77.96	16.12	0.0	1325861	0	237	237	13114	13114	5594	5594	103342	103342		6.11			1667	26	102	18	2	0	1	31	12	UID1	k__Archaea (root)	k__Archaea		1.325861	1667			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
KR11_0.1_MetaG.064.2k	KR11_0.1_MetaG.064.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	201325	0	58	58	3411	3411	3471	3471	12646	12646		1.45			390	56	0	0	0	0	0	0	0			unresolved		0.201325	390									
KR11_0.1_MetaG.065.2k	KR11_0.1_MetaG.065.2k	k__Bacteria (UID3187)	2258	181	110	53.86	0.91	0.0	1011596	0	301	301	3202	3202	3360	3360	17690	17690		3.39			1221	74	106	1	0	0	0	27	1	UID3195	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae	g__Thermodesulfovibrio		1.011596	1221			4.0	40.4354512169	10.734191293	2.5603085	1.01636770309	2628.5	976.721429068
KR11_0.1_MetaG.066.2k	KR11_0.1_MetaG.066.2k	k__Bacteria (UID2329)	174	149	89	61.53	3.09	25.0	582024	0	95	95	7983	7983	6126	6126	26472	26472		5.38			684	53	92	4	0	0	0	30	0	UID2329	k__Bacteria	p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales		0.582024	684			174.0	29.3511519692	4.74536573391	1.46226449425	0.950537413827	1377.33908046	1002.10203496
KR11_0.1_MetaG.067.2k	KR11_0.1_MetaG.067.2k	c__Deltaproteobacteria (UID3217)	62	280	168	62.05	0.69	0.0	1719540	0	452	452	4060	4060	3804	3804	14256	14256		2.68			1915	109	166	5	0	0	0	26	2	UID3234	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfurivibrio;s__Desulfurivibrio_alkaliphilus		1.71954	1915			6.0	55.140524793400004	6.45899433359	4.195714499999999	0.8775838166140001	3694.83333333	741.6929770610001
